precinct;ALCOHOL/DRUGS;ANIMALS;BIKE;DISOBEY BUSINESS AND STREET VENDOR REGULATIONS;DISORDERLY BEHAVIOR;FOOD;GENERAL ILLEGAL BEHAVIOR;NOISE;OTHER;PROPERTY;WEAPON;Grand Total;;;;;;;;;;;;;;;;;;;;;;
1;10;1;6;116;237;;190;;18;;3;581;;;;;;;;;;;;;;;;;;;;;;
5;201;;13;97;105;1;59;1;;;4;481;;;;;;;;;;;;;;;;;;;;;;
6;70;;19;87;174;1;26;8;;;4;389;;;;;;;;;;;;;;;;;;;;;;
7;53;2;6;25;170;;22;7;1;;2;288;;;;;;;;;;;;;;;;;;;;;;
9;93;1;6;55;87;;20;14;;;1;277;;;;;;;;;;;;;;;;;;;;;;
10;40;;4;37;72;;172;1;11;;1;338;;;;;;;;;;;;;;;;;;;;;;
13;60;;13;84;303;;75;6;5;;6;552;;;;;;;;;;;;;;;;;;;;;;
14;610;4;112;648;886;;318;31;25;;16;2650;;;;;;;;;;;;;;;;;;;;;;
17;150;1;50;26;276;;159;4;1;;1;668;;;;;;;;;;;;;;;;;;;;;;
18;153;3;43;387;317;;279;22;2;;5;1211;;;;;;;;;;;;;;;;;;;;;;
19;24;;25;41;80;;49;1;;;3;223;;;;;;;;;;;;;;;;;;;;;;
20;11;1;1;16;15;;1;;;;1;46;;;;;;;;;;;;;;;;;;;;;;
22;11;1;;1;7;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;
23;425;1;11;20;437;;49;8;;;22;973;;;;;;;;;;;;;;;;;;;;;;
24;42;1;9;25;116;;35;4;;;5;237;;;;;;;;;;;;;;;;;;;;;;
25;154;3;19;22;403;;43;12;;;9;665;;;;;;;;;;;;;;;;;;;;;;
26;49;4;17;12;99;;21;2;;;9;213;;;;;;;;;;;;;;;;;;;;;;
28;244;;38;23;544;;60;6;;;21;936;;;;;;;;;;;;;;;;;;;;;;
30;58;;4;14;107;;41;9;;;14;247;;;;;;;;;;;;;;;;;;;;;;
32;306;5;51;36;305;;39;19;;;26;787;;;;;;;;;;;;;;;;;;;;;;
33;197;;2;60;149;;194;35;;;38;675;;;;;;;;;;;;;;;;;;;;;;
34;232;2;33;83;311;;79;69;4;;57;870;;;;;;;;;;;;;;;;;;;;;;
40;1020;1;28;355;1453;;527;27;82;;49;3542;;;;;;;;;;;;;;;;;;;;;;
41;431;5;3;101;365;;199;18;4;;21;1147;;;;;;;;;;;;;;;;;;;;;;
42;602;4;32;44;452;;101;6;;;26;1267;;;;;;;;;;;;;;;;;;;;;;
43;423;3;13;44;356;;113;20;7;;18;997;;;;;;;;;;;;;;;;;;;;;;
44;279;1;41;123;423;;197;68;14;;31;1177;;;;;;;;;;;;;;;;;;;;;;
45;58;2;2;56;119;;23;32;;;9;301;;;;;;;;;;;;;;;;;;;;;;
46;221;1;8;66;310;;151;54;1;;31;843;;;;;;;;;;;;;;;;;;;;;;
47;366;3;28;262;379;;286;90;35;;28;1477;;;;;;;;;;;;;;;;;;;;;;
48;321;3;8;39;131;;46;9;4;;17;578;;;;;;;;;;;;;;;;;;;;;;
49;59;;2;78;78;;70;17;7;;9;320;;;;;;;;;;;;;;;;;;;;;;
50;24;1;2;9;91;;15;21;;;8;171;;;;;;;;;;;;;;;;;;;;;;
52;1394;;16;107;505;;204;277;;;15;2518;;;;;;;;;;;;;;;;;;;;;;
60;498;4;40;36;299;;61;7;;;22;967;;;;;;;;;;;;;;;;;;;;;;
61;104;2;19;12;86;;28;37;3;;8;299;;;;;;;;;;;;;;;;;;;;;;
62;429;;9;24;69;;18;5;5;;5;564;;;;;;;;;;;;;;;;;;;;;;
63;51;1;2;40;100;;9;25;3;;2;233;;;;;;;;;;;;;;;;;;;;;;
66;76;;30;48;47;;11;20;8;;3;243;;;;;;;;;;;;;;;;;;;;;;
67;1832;2;162;70;566;;52;94;;;22;2800;;;;;;;;;;;;;;;;;;;;;;
68;291;1;46;36;88;;13;18;2;;4;499;;;;;;;;;;;;;;;;;;;;;;
69;886;2;78;33;362;;31;30;1;;18;1441;;;;;;;;;;;;;;;;;;;;;;
70;1134;1;215;688;502;;62;16;44;;25;2687;;;;;;;;;;;;;;;;;;;;;;
71;1032;1;48;79;219;;32;18;;;8;1437;;;;;;;;;;;;;;;;;;;;;;
72;1249;;64;50;214;;55;6;;;4;1642;;;;;;;;;;;;;;;;;;;;;;
73;1823;2;468;91;1318;;87;36;;;72;3897;;;;;;;;;;;;;;;;;;;;;;
75;1291;3;34;254;547;;84;49;77;;18;2357;;;;;;;;;;;;;;;;;;;;;;
76;136;4;66;310;105;;14;16;54;;3;708;;;;;;;;;;;;;;;;;;;;;;
77;125;1;17;41;144;;33;5;1;;5;372;;;;;;;;;;;;;;;;;;;;;;
78;30;1;28;30;86;;52;3;;;2;232;;;;;;;;;;;;;;;;;;;;;;
79;453;3;37;27;273;;260;23;1;;25;1102;;;;;;;;;;;;;;;;;;;;;;
81;1175;5;7;141;352;;76;23;2;;55;1836;;;;;;;;;;;;;;;;;;;;;;
83;400;4;13;35;177;;32;4;4;;2;671;;;;;;;;;;;;;;;;;;;;;;
84;167;1;8;59;231;;54;8;;;6;534;;;;;;;;;;;;;;;;;;;;;;
88;143;3;31;58;147;;22;13;1;;1;419;;;;;;;;;;;;;;;;;;;;;;
90;753;;18;112;265;;56;32;6;;8;1250;;;;;;;;;;;;;;;;;;;;;;
94;42;;1;23;35;;12;3;1;;1;118;;;;;;;;;;;;;;;;;;;;;;
100;176;4;6;11;82;;18;2;;;2;301;;;;;;;;;;;;;;;;;;;;;;
101;112;;18;19;48;;17;15;3;;1;233;;;;;;;;;;;;;;;;;;;;;;
102;70;;4;109;64;;68;190;;;7;512;;;;;;;;;;;;;;;;;;;;;;
103;365;3;38;256;318;;100;33;8;;8;1129;;;;;;;;;;;;;;;;;;;;;;
104;72;;3;51;69;;15;49;;;6;265;;;;;;;;;;;;;;;;;;;;;;
105;70;1;2;65;122;;67;58;;1;6;392;;;;;;;;;;;;;;;;;;;;;;
106;80;;;77;115;1;38;33;7;;5;356;;;;;;;;;;;;;;;;;;;;;;
107;17;;9;3;29;;4;70;1;;3;136;;;;;;;;;;;;;;;;;;;;;;
108;72;;14;121;60;;10;16;43;;1;337;;;;;;;;;;;;;;;;;;;;;;
109;114;1;11;45;116;;19;14;2;;5;327;;;;;;;;;;;;;;;;;;;;;;
110;2205;;10;147;601;;45;25;3;;7;3043;;;;;;;;;;;;;;;;;;;;;;
111;14;;;1;15;;2;2;;;;34;;;;;;;;;;;;;;;;;;;;;;
112;9;;;1;10;;11;1;;;4;36;;;;;;;;;;;;;;;;;;;;;;
